2022-04-18 08:36:50 08:36:50.319 [000] procedure InsertPGMHist Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다]
2022-04-18 08:36:50 08:36:50.320 [310] procedure fnCommandQuery Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다], SQL[ Select *    From TT_STOCK   Order By ID_CODE, ID_BANK, ID_BAY, ID_LEVEL ]
2022-04-18 08:36:50 08:36:50.652 [000] procedure InsertPGMHist Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다]
2022-04-18 08:36:50 08:36:50.653 [310] procedure fnCommandQuery Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다], SQL[ Select *    From TT_STOCK   Order By ID_CODE, ID_BANK, ID_BAY, ID_LEVEL ]
2022-04-18 08:36:50 08:36:50.982 [000] procedure InsertPGMHist Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다]
2022-04-18 08:36:50 08:36:50.983 [310] procedure fnCommandQuery Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다], SQL[ Select *    From TT_STOCK   Order By ID_CODE, ID_BANK, ID_BAY, ID_LEVEL ]
2022-04-18 08:36:51 08:36:51.301 [000] procedure InsertPGMHist Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다]
2022-04-18 08:36:51 08:36:51.301 [310] procedure fnCommandQuery Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다], SQL[ Select *    From TT_STOCK   Order By ID_CODE, ID_BANK, ID_BAY, ID_LEVEL ]
2022-04-18 08:36:51 08:36:51.636 [000] procedure InsertPGMHist Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다]
2022-04-18 08:36:51 08:36:51.637 [310] procedure fnCommandQuery Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다], SQL[ Select *    From TT_STOCK   Order By ID_CODE, ID_BANK, ID_BAY, ID_LEVEL ]
2022-04-18 08:36:51 08:36:51.961 [000] procedure InsertPGMHist Fail || ERR[[DBNETLIB][ConnectionOpen (Connect()).]SQL Server가 없거나 액세스할 수 없습니다]
